"Group By Month Report for bricerosenzweig"
 
 Time Period,Count,Distance,Time,Elevation Gain,Avg Speed,Avg HR,Avg Bike Cadence,Calories,Median Elevation Gain,
 Feb 2013,10,99.48,5:31:02,513,18.0,133,73,"3,084",48,
 Jan 2013,14,138.67,8:06:30,694,17.1,135,75,"4,762",47,
 Dec 2012,16,138.08,8:00:17,598,17.3,134,74,"5,493",36,
 Nov 2012,27,267.97,14:46:13,"1,190",18.1,127,71,"9,341",42,
 Oct 2012,26,260.12,14:09:05,"1,161",18.4,137,--,"9,773",44,
 Sep 2012,27,264.54,14:24:37,"1,224",18.4,127,74,"9,543",43,
 Aug 2012,21,202.75,10:42:29,904,18.9,131,74,"6,409",44,
 Jul 2012,16,150.51,7:46:10,615,19.4,132,77,"5,133",41,
 Jun 2012,26,238.70,12:26:34,"1,089",19.2,135,76,"8,240",41,
 May 2012,23,203.64,10:47:42,"1,402",18.9,135,83,"7,019",48,
 Apr 2012,20,173.41,9:43:33,853,17.8,136,85,"6,551",40,
 Mar 2012,19,161.50,8:36:16,812,18.8,143,86,"5,884",41,
 Feb 2012,18,165.18,9:32:35,711,17.3,136,--,"6,248",38,
 Jan 2012,23,206.79,12:05:59,"1,929",17.1,138,--,"8,370",51,
 Dec 2011,10,92.51,5:34:26,462,16.6,131,--,"3,617",48,
 Nov 2011,17,146.92,8:04:07,623,18.2,135,--,"5,650",43,
 Oct 2011,25,239.67,13:29:17,"1,745",17.8,--,--,"10,005",41,
 Sep 2011,37,345.99,18:17:00,"1,639",18.9,142,--,"13,632",40,
 Aug 2011,15,141.07,7:05:23,664,19.9,153,--,"6,179",40,
 Summary,390,"3,637.50",199:09:15,"18,828",18.3,135,78,"134,932",42,
