"Group By Week Report for bricerosenzweig"
 
 Time Period,Count,Distance,Time,Elevation Gain,Avg Speed,Avg HR,Avg Run Cadence,Avg Bike Cadence,Calories,
 02/10/2013,4,39.85,2:14:05,190,17.8,130,--,71,"1,195",
 02/03/2013,6,59.63,3:16:57,323,18.2,134,--,76,"1,889",
 01/27/2013,4,39.96,2:18:10,239,17.4,134,--,74,"1,291",
 01/20/2013,4,39.45,2:22:24,160,16.6,137,--,77,"1,431",
 01/13/2013,4,39.96,2:19:32,195,17.2,131,--,72,"1,311",
 01/06/2013,2,19.31,1:06:24,100,17.4,144,--,80,729,
 12/16/2012,7,61.78,3:36:47,257,17.1,132,--,75,"2,110",
 12/09/2012,3,20.04,1:12:01,123,16.7,--,--,69,"1,153",
 12/02/2012,6,56.26,3:11:29,218,17.6,140,--,73,"2,229",
 11/25/2012,7,69.70,3:42:12,301,18.8,--,--,70,"2,614",
 11/18/2012,8,79.47,4:30:38,382,17.6,118,--,71,"2,608",
 11/11/2012,6,59.31,3:17:57,250,18.0,129,--,--,"2,026",
 11/04/2012,6,59.49,3:15:27,257,18.3,144,--,--,"2,093",
 10/28/2012,6,59.56,3:11:18,226,18.7,136,--,--,"2,005",
 10/14/2012,6,60.10,3:09:57,300,19.0,139,--,--,"2,373",
 10/07/2012,8,80.57,4:33:09,376,17.7,--,--,--,"2,958",
 09/30/2012,6,59.88,3:14:41,259,18.5,136,--,--,"2,437",
 09/23/2012,8,80.04,4:32:10,380,17.6,126,--,--,"3,059",
 09/16/2012,6,59.87,3:15:35,286,18.4,--,--,72,"2,454",
 09/09/2012,7,64.81,3:33:53,271,18.2,--,--,74,"2,336",
 09/02/2012,6,59.82,3:02:59,287,19.6,127,--,76,"1,695",
 08/26/2012,2,17.62,53:58,81,19.6,137,--,78,456,
 08/19/2012,8,80.09,4:18:02,302,18.6,--,--,70,"2,860",
 08/12/2012,7,64.78,3:24:59,331,19.0,132,--,76,"2,020",
 08/05/2012,4,40.26,2:05:31,190,19.2,128,--,80,"1,074",
 07/22/2012,6,59.93,3:03:03,232,19.6,129,--,77,"1,816",
 07/15/2012,6,54.43,2:53:28,250,18.8,135,--,--,"1,907",
 07/01/2012,4,36.15,1:49:39,133,19.8,--,--,--,"1,410",
 06/24/2012,6,54.30,2:59:03,221,18.2,--,--,76,"2,000",
 06/17/2012,6,55.19,2:53:05,223,19.1,135,--,75,"1,916",
 06/10/2012,10,92.06,4:37:11,449,19.9,138,--,78,"3,146",
 06/03/2012,2,18.62,1:02:32,90,17.9,128,--,--,584,
 05/27/2012,6,51.72,2:39:21,711,19.5,133,--,79,"1,682",
 05/20/2012,5,40.52,2:04:29,202,19.5,135,--,84,"1,454",
 05/13/2012,6,55.44,2:50:55,235,19.5,138,--,85,"1,988",
 05/06/2012,4,37.53,2:07:39,190,17.6,132,--,83,"1,260",
 04/29/2012,6,55.56,2:56:30,247,18.9,138,--,82,"2,052",
 04/22/2012,6,55.66,2:53:52,236,19.2,136,--,84,"1,856",
 04/15/2012,6,49.49,3:08:49,257,15.7,--,--,83,"2,082",
 04/08/2012,2,16.49,55:19,105,17.9,140,--,89,626,
