"Group By Month Report for bricerosenzweig"
 
 Time Period,Count,Distance,Time,Elevation Gain,Avg Speed,Avg HR,Avg Bike Cadence,Calories,Median Elevation Gain,
 Feb 2013,7,59.92,5:16:39,365,11.4,167,--,"4,310",57,
 Jan 2013,14,124.51,11:13:03,823,11.1,169,--,"9,361",66,
 Dec 2012,10,90.95,8:13:04,907,11.1,167,--,"6,673",93,
 Nov 2012,8,78.81,7:08:34,699,11.0,171,--,"5,274",82,
 Oct 2012,8,77.06,6:54:03,585,11.2,170,--,"5,557",73,
 Sep 2012,13,104.00,9:01:54,"1,389",11.5,165,--,"7,202",67,
 Aug 2012,14,129.68,11:51:45,"1,703",10.9,168,--,"9,132",93,
 Jul 2012,12,111.81,10:07:37,874,11.0,170,--,"8,402",70,
 Jun 2012,9,81.45,7:34:10,"1,052",10.8,168,--,"6,235",87,
 May 2012,20,171.38,14:56:06,"1,352",11.5,168,--,"12,629",63,
 Apr 2012,15,126.39,10:48:58,"1,485",11.7,167,--,"9,235",75,
 Mar 2012,21,175.53,14:45:32,"2,962",11.9,171,--,"12,729",81,
 Feb 2012,13,100.06,8:28:40,987,11.8,173,--,"7,486",66,
 Jan 2012,19,147.67,13:06:13,"2,181",11.3,169,--,"10,912",69,
 Dec 2011,12,103.55,9:19:09,785,11.1,167,--,"7,634",74,
 Nov 2011,15,135.09,11:56:20,"1,571",11.3,172,--,"10,210",75,
 Oct 2011,11,91.01,8:09:46,774,11.1,171,--,"6,886",59,
 Sep 2011,10,73.12,6:28:52,780,11.3,168,--,"5,432",28,
 Aug 2011,28,189.86,19:43:54,"4,989",9.6,165,--,"14,595",175,
 Jul 2011,6,40.78,4:05:01,"2,656",10.0,174,--,"3,307",221,
 Summary,265,"2,212.62",199:09:19,"28,919",11.1,169,--,"163,201",75,
