"Group By Week Report for bricerosenzweig"
 
 Time Period,Count,Distance,Time,Elevation Gain,Avg Speed,Avg HR,Avg Run Cadence,Avg Bike Cadence,Calories,
 02/10/2013,2,17.30,1:28:36,87,11.7,171,84,--,"1,215",
 02/03/2013,3,23.74,2:07:29,144,11.2,169,83,--,"1,814",
 01/27/2013,4,37.38,3:18:44,274,11.3,167,84,--,"2,675",
 01/20/2013,3,28.99,2:36:51,181,11.1,169,83,--,"2,221",
 01/13/2013,4,29.82,2:44:20,237,10.9,169,83,--,"2,341",
 01/06/2013,3,27.48,2:26:21,100,11.3,168,83,--,"2,026",
 12/30/2012,2,19.73,1:47:20,165,11.0,167,82,--,"1,379",
 12/23/2012,1,4.80,29:03,123,9.9,163,80,--,385,
 12/16/2012,3,29.57,2:40:12,205,11.1,165,84,--,"2,173",
 12/09/2012,3,29.19,2:36:05,315,11.2,165,85,--,"2,047",
 12/02/2012,3,27.39,2:27:44,265,11.1,176,84,--,"2,068",
 11/18/2012,2,19.48,1:47:57,153,10.8,170,82,--,"1,416",
 11/11/2012,3,29.18,2:38:46,279,11.0,167,83,--,"1,738",
 11/04/2012,3,30.15,2:41:50,268,11.2,174,83,--,"2,120",
 10/21/2012,1,9.86,51:00,42,11.6,174,83,--,678,
 10/14/2012,4,37.90,3:27:58,309,10.9,170,83,--,"2,732",
 09/30/2012,3,29.30,2:35:05,234,11.3,169,84,--,"2,147",
 09/23/2012,1,9.86,52:27,383,11.3,162,84,--,709,
 09/16/2012,5,32.03,2:43:56,210,11.7,167,83,--,"2,003",
 09/09/2012,2,19.59,1:43:40,108,11.3,159,--,--,"1,378",
 09/02/2012,4,33.76,2:54:23,620,11.6,171,84,--,"2,489",
 08/26/2012,5,45.05,4:09:47,735,10.8,163,81,--,"3,132",
 08/19/2012,2,19.69,1:40:45,151,11.7,174,85,--,"1,376",
 08/12/2012,3,25.40,2:19:52,202,10.9,165,83,--,"1,735",
 08/05/2012,4,38.86,3:33:25,490,10.9,168,82,--,"2,674",
 07/29/2012,1,9.44,55:24,192,10.2,178,79,--,838,
 07/22/2012,4,39.32,3:35:33,312,10.9,169,82,--,"2,971",
 07/15/2012,4,36.16,3:13:13,271,11.2,170,83,--,"2,676",
 07/08/2012,1,9.17,51:32,40,10.7,181,82,--,747,
 07/01/2012,3,27.15,2:27:19,251,11.1,168,82,--,"2,008",
 06/24/2012,1,8.74,46:54,89,11.2,171,84,--,644,
 06/17/2012,4,33.88,3:07:47,363,10.8,173,81,--,"2,700",
 06/03/2012,4,38.82,3:39:28,600,10.6,164,80,--,"2,891",
 05/27/2012,5,39.09,3:28:09,227,11.3,163,82,--,"2,863",
 05/20/2012,5,39.24,3:24:31,397,11.5,172,82,--,"2,867",
 05/13/2012,3,26.95,2:16:56,214,11.8,167,83,--,"2,005",
 05/06/2012,4,39.23,3:22:56,304,11.6,169,87,--,"2,831",
 04/29/2012,3,26.87,2:23:34,211,11.2,172,84,--,"2,063",
 04/22/2012,4,35.88,3:04:25,277,11.7,170,83,--,"2,692",
 04/15/2012,2,16.53,1:25:23,154,11.6,172,83,--,"1,245",
 04/08/2012,4,33.17,2:52:15,628,11.6,165,87,--,"2,361",
 04/01/2012,5,40.82,3:26:54,426,11.8,164,83,--,"2,937",
 03/25/2012,6,38.27,3:19:34,328,11.5,167,84,--,"2,828",
 03/18/2012,4,36.18,3:00:20,287,12.0,170,84,--,"2,698",
 03/11/2012,5,45.82,3:52:38,744,11.8,169,84,--,"3,351",
 03/04/2012,4,37.21,3:00:28,"1,453",12.4,177,84,--,"2,607",
 02/26/2012,4,27.01,2:19:27,207,11.6,173,83,--,"1,920",
 02/19/2012,4,30.34,2:32:41,446,11.9,177,83,--,"2,299",
 02/12/2012,2,17.89,1:34:33,136,11.4,169,83,--,"1,421",
 02/05/2012,3,24.82,2:00:40,203,12.3,172,84,--,"1,736",
 01/29/2012,3,26.97,2:20:02,221,11.6,171,84,--,"1,988",
 01/22/2012,3,26.73,2:20:04,186,11.5,172,82,--,"1,992",
 01/15/2012,5,36.67,3:15:24,298,11.3,168,83,--,"2,688",
 01/08/2012,4,36.20,3:15:38,"1,224",11.1,168,82,--,"2,698",
 01/01/2012,6,39.13,3:28:55,398,11.2,168,83,--,"2,901",
 12/11/2011,4,31.75,2:59:11,212,10.6,158,81,--,"2,279",
 12/04/2011,5,44.83,3:53:25,341,11.5,173,84,--,"3,356",
 11/27/2011,5,45.08,4:02:54,718,11.1,167,83,--,"3,283",
 11/20/2011,4,34.61,3:03:04,282,11.3,173,83,--,"2,721",
 11/13/2011,2,19.91,1:42:35,345,11.6,177,84,--,"1,461",
 11/06/2011,5,43.59,3:51:06,309,11.3,170,83,--,"3,251",
 10/30/2011,4,36.08,3:11:59,253,11.3,172,83,--,"2,724",
 10/23/2011,4,32.73,2:57:43,420,11.1,171,82,--,"2,405",
 10/16/2011,1,9.05,48:47,89,11.1,178,82,--,798,
 10/09/2011,1,7.05,41:41,17,10.1,158,80,--,552,
 10/02/2011,2,15.54,1:21:31,86,11.4,171,82,--,"1,118",
 09/25/2011,2,15.04,1:22:39,82,10.9,169,82,--,"1,147",
 09/18/2011,3,21.51,1:56:45,315,11.1,164,82,--,"1,619",
 09/11/2011,2,13.10,1:07:23,42,11.7,176,83,--,879,
 09/04/2011,3,25.68,2:14:04,372,11.5,171,82,--,"1,985",
 08/28/2011,2,14.82,1:19:44,76,11.2,164,83,--,"1,113",
 08/21/2011,5,34.24,3:21:52,"1,052",10.2,167,81,--,"2,626",
 08/14/2011,4,26.23,2:56:36,"1,186",8.9,166,76,--,"2,070",
 08/07/2011,10,66.09,6:36:02,"1,482",10.0,162,77,--,"4,936",
 07/31/2011,9,63.54,6:54:24,"1,637",9.2,168,77,--,"5,015",
 07/24/2011,5,32.94,3:19:36,"2,239",9.9,173,81,--,"2,726",
 Summary,265,"2,212.62",199:09:19,"28,919",11.1,169,82,--,"163,201",
